顧客ID,性別コード,年齢層,お仕事,お住まい,家族構成,趣味・関心事,最近の悩み,顧客プロフィール,会員ランク,年間購入額
c517a184,男,21,販売スタッフ,宮城県,独身,音楽、料理、アウトドア,人間関係,宮城県在住21歳男性。販売スタッフとして働く。趣味は音楽、料理、アウトドア。,ゴールド,71815
90040536,女,40,事務職,広島県,既婚子なし,ガーデニング、アウトドア、料理,子供の教育,広島県在住40歳女性。事務職として働く。趣味はガーデニング、アウトドア、料理。,シルバー,91013
a89437db,男,44,営業職,埼玉県,既婚子なし,ショッピング、アウトドア,住宅ローン,埼玉県在住44歳男性。営業職として働く。趣味はショッピング、アウトドア。,ゴールド,70598
c630182c,男,60,管理職,福岡県,既婚子なし,写真、スポーツ、ショッピング,住宅ローン,福岡県在住60歳男性。管理職として働く。趣味は写真、スポーツ、ショッピング。,ゴールド,357752
dfcee957,男,52,主婦,宮城県,既婚子なし,料理、スポーツ、音楽、映画鑑賞,スキルアップ,宮城県在住52歳男性。主婦として働く。趣味は料理、スポーツ、音楽、映画鑑賞。,ブロンズ,368445
cfc3dbdd,男,63,営業職,千葉県,既婚子あり（1人）,音楽、アウトドア、映画鑑賞,老後の資金,千葉県在住63歳男性。営業職として働く。趣味は音楽、アウトドア、映画鑑賞。,ゴールド,357661
ac73f8af,女,47,事務職,愛知県,既婚子あり（2人以上）,DIY、映画鑑賞,健康管理,愛知県在住47歳女性。事務職として働く。趣味はDIY、映画鑑賞。,ゴールド,269918
3544595c,男,37,管理職,東京都,既婚子あり（2人以上）,カフェ巡り、ショッピング,人間関係,東京都在住37歳男性。管理職として働く。趣味はカフェ巡り、ショッピング。,一般,17999
c2ca8ea3,女,62,販売スタッフ,大阪府,既婚子あり（2人以上）,旅行、写真、ゲーム,ワークライフバランス,大阪府在住62歳女性。販売スタッフとして働く。趣味は旅行、写真、ゲーム。,シルバー,180194
2d971537,女,39,ITエンジニア,広島県,既婚子あり（1人）,映画鑑賞、読書,健康管理,広島県在住39歳女性。ITエンジニアとして働く。趣味は映画鑑賞、読書。,一般,391965
54f63042,男,56,医療従事者,東京都,独身,映画鑑賞、音楽、旅行,転職,東京都在住56歳男性。医療従事者として働く。趣味は映画鑑賞、音楽、旅行。,一般,39611
00b37c99,女,27,販売スタッフ,東京都,独身,映画鑑賞、料理、アウトドア,住宅ローン,東京都在住27歳女性。販売スタッフとして働く。趣味は映画鑑賞、料理、アウトドア。,一般,349500
baa9697c,女,41,学生,埼玉県,既婚子なし,音楽、アウトドア、ショッピング、ガーデニング,人間関係,埼玉県在住41歳女性。学生として働く。趣味は音楽、アウトドア、ショッピング、ガーデニング。,一般,355372
993bfead,女,20,ITエンジニア,広島県,既婚子なし,映画鑑賞、スポーツ、カフェ巡り、読書,副業,広島県在住20歳女性。ITエンジニアとして働く。趣味は映画鑑賞、スポーツ、カフェ巡り、読書。,ブロンズ,375013
eb6abc1f,女,57,医療従事者,東京都,独身,料理、読書、ガーデニング、ショッピング,老後の資金,東京都在住57歳女性。医療従事者として働く。趣味は料理、読書、ガーデニング、ショッピング。,ブロンズ,192807
66eb21e4,男,35,学生,北海道,独身,料理、音楽、DIY,老後の資金,北海道在住35歳男性。学生として働く。趣味は料理、音楽、DIY。,一般,98911
c81037af,男,31,営業職,福岡県,既婚子なし,DIY、音楽、ショッピング,副業,福岡県在住31歳男性。営業職として働く。趣味はDIY、音楽、ショッピング。,一般,361612
24d2b303,男,32,医療従事者,千葉県,既婚子あり（2人以上）,スポーツ、カフェ巡り、映画鑑賞、ゲーム,転職,千葉県在住32歳男性。医療従事者として働く。趣味はスポーツ、カフェ巡り、映画鑑賞、ゲーム。,一般,409165
87a893dc,男,38,学生,宮城県,既婚子なし,DIY、映画鑑賞,スキルアップ,宮城県在住38歳男性。学生として働く。趣味はDIY、映画鑑賞。,ブロンズ,255650
686e00c1,女,38,学生,神奈川県,独身,料理、写真,老後の資金,神奈川県在住38歳女性。学生として働く。趣味は料理、写真。,シルバー,404229
a55f4363,女,31,フリーランス,広島県,既婚子あり（1人）,写真、映画鑑賞,ワークライフバランス,広島県在住31歳女性。フリーランスとして働く。趣味は写真、映画鑑賞。,ブロンズ,285491
d0d35b88,女,66,ITエンジニア,東京都,既婚子あり（1人）,スポーツ、アウトドア、カフェ巡り,住宅ローン,東京都在住66歳女性。ITエンジニアとして働く。趣味はスポーツ、アウトドア、カフェ巡り。,一般,498022
6b5e2f0f,男,31,教員,北海道,既婚子なし,ショッピング、読書,ワークライフバランス,北海道在住31歳男性。教員として働く。趣味はショッピング、読書。,ブロンズ,189617
fe3d7f23,男,31,営業職,広島県,既婚子あり（2人以上）,読書、料理、アウトドア,副業,広島県在住31歳男性。営業職として働く。趣味は読書、料理、アウトドア。,シルバー,444693
8a3c5403,女,38,ITエンジニア,福岡県,独身,読書、旅行、アウトドア、音楽,老後の資金,福岡県在住38歳女性。ITエンジニアとして働く。趣味は読書、旅行、アウトドア、音楽。,一般,374942
3a437ea6,男,65,学生,大阪府,既婚子あり（2人以上）,映画鑑賞、アウトドア、DIY,スキルアップ,大阪府在住65歳男性。学生として働く。趣味は映画鑑賞、アウトドア、DIY。,ゴールド,301524
be9731dd,女,32,管理職,北海道,既婚子あり（1人）,DIY、写真、料理、カフェ巡り,住宅ローン,北海道在住32歳女性。管理職として働く。趣味はDIY、写真、料理、カフェ巡り。,ゴールド,94161
57b760d2,女,33,医療従事者,神奈川県,既婚子あり（1人）,ゲーム、音楽,住宅ローン,神奈川県在住33歳女性。医療従事者として働く。趣味はゲーム、音楽。,ブロンズ,100275
a7366537,女,46,事務職,神奈川県,既婚子あり（1人）,ショッピング、ガーデニング,住宅ローン,神奈川県在住46歳女性。事務職として働く。趣味はショッピング、ガーデニング。,ブロンズ,48875
76117afb,男,39,営業職,北海道,既婚子あり（2人以上）,ガーデニング、料理、ショッピング、DIY,副業,北海道在住39歳男性。営業職として働く。趣味はガーデニング、料理、ショッピング、DIY。,ブロンズ,415696
0f6815ed,男,29,主婦,福岡県,既婚子なし,読書、ショッピング、音楽、DIY,キャリアアップ,福岡県在住29歳男性。主婦として働く。趣味は読書、ショッピング、音楽、DIY。,一般,97804
cff268c1,男,22,パート,愛知県,既婚子なし,アウトドア、読書、音楽,スキルアップ,愛知県在住22歳男性。パートとして働く。趣味はアウトドア、読書、音楽。,ゴールド,218007
81ccdc13,男,46,管理職,千葉県,既婚子あり（2人以上）,スポーツ、アウトドア、カフェ巡り,キャリアアップ,千葉県在住46歳男性。管理職として働く。趣味はスポーツ、アウトドア、カフェ巡り。,一般,484876
de3e75a6,女,20,主婦,東京都,独身,映画鑑賞、ショッピング、DIY,転職,東京都在住20歳女性。主婦として働く。趣味は映画鑑賞、ショッピング、DIY。,シルバー,435356
48573005,男,38,医療従事者,千葉県,既婚子あり（1人）,DIY、カフェ巡り、映画鑑賞、ショッピング,副業,千葉県在住38歳男性。医療従事者として働く。趣味はDIY、カフェ巡り、映画鑑賞、ショッピング。,ブロンズ,377585
5c3042ce,女,47,営業職,埼玉県,既婚子あり（2人以上）,スポーツ、料理、DIY、カフェ巡り,老後の資金,埼玉県在住47歳女性。営業職として働く。趣味はスポーツ、料理、DIY、カフェ巡り。,ゴールド,247991
2d94f3cc,女,41,営業職,福岡県,独身,カフェ巡り、映画鑑賞,健康管理,福岡県在住41歳女性。営業職として働く。趣味はカフェ巡り、映画鑑賞。,ブロンズ,175199
4252de6c,女,49,主婦,北海道,既婚子なし,DIY、アウトドア、スポーツ、料理,人間関係,北海道在住49歳女性。主婦として働く。趣味はDIY、アウトドア、スポーツ、料理。,一般,365751
9e59ecb4,男,32,ITエンジニア,埼玉県,既婚子あり（1人）,音楽、アウトドア、読書、DIY,人間関係,埼玉県在住32歳男性。ITエンジニアとして働く。趣味は音楽、アウトドア、読書、DIY。,ブロンズ,150100
ea6b95ea,男,31,管理職,広島県,既婚子なし,映画鑑賞、アウトドア、ゲーム,副業,広島県在住31歳男性。管理職として働く。趣味は映画鑑賞、アウトドア、ゲーム。,一般,250666
957df0c8,男,65,医療従事者,広島県,独身,カフェ巡り、音楽,老後の資金,広島県在住65歳男性。医療従事者として働く。趣味はカフェ巡り、音楽。,シルバー,22269
be54cfdd,女,27,販売スタッフ,広島県,独身,読書、料理,ワークライフバランス,広島県在住27歳女性。販売スタッフとして働く。趣味は読書、料理。,ゴールド,288332
9ec5d592,男,50,教員,千葉県,既婚子あり（1人）,ゲーム、カフェ巡り,転職,千葉県在住50歳男性。教員として働く。趣味はゲーム、カフェ巡り。,一般,69526
9b87b564,男,43,教員,千葉県,独身,ガーデニング、旅行,スキルアップ,千葉県在住43歳男性。教員として働く。趣味はガーデニング、旅行。,シルバー,105552
03211fe0,男,59,事務職,宮城県,独身,スポーツ、料理、映画鑑賞、旅行,住宅ローン,宮城県在住59歳男性。事務職として働く。趣味はスポーツ、料理、映画鑑賞、旅行。,ゴールド,420655
0a377646,女,36,営業職,福岡県,独身,ゲーム、ガーデニング、読書,老後の資金,福岡県在住36歳女性。営業職として働く。趣味はゲーム、ガーデニング、読書。,一般,15575
a3c49dd4,女,54,管理職,大阪府,独身,読書、ゲーム,転職,大阪府在住54歳女性。管理職として働く。趣味は読書、ゲーム。,ブロンズ,393114
0baaf13f,男,61,主婦,福岡県,既婚子なし,スポーツ、読書,老後の資金,福岡県在住61歳男性。主婦として働く。趣味はスポーツ、読書。,シルバー,292016
df820b3f,男,54,学生,広島県,独身,DIY、写真,キャリアアップ,広島県在住54歳男性。学生として働く。趣味はDIY、写真。,ゴールド,96701
d84d10e2,女,66,主婦,東京都,既婚子あり（2人以上）,カフェ巡り、ガーデニング,老後の資金,東京都在住66歳女性。主婦として働く。趣味はカフェ巡り、ガーデニング。,ゴールド,386575
dd2b1323,女,48,医療従事者,埼玉県,既婚子なし,音楽、ゲーム,ワークライフバランス,埼玉県在住48歳女性。医療従事者として働く。趣味は音楽、ゲーム。,ゴールド,164311
9db69206,女,36,事務職,千葉県,独身,カフェ巡り、読書、ガーデニング,スキルアップ,千葉県在住36歳女性。事務職として働く。趣味はカフェ巡り、読書、ガーデニング。,ゴールド,53439
a67566fc,女,37,フリーランス,神奈川県,既婚子あり（2人以上）,料理、旅行、ゲーム,子供の教育,神奈川県在住37歳女性。フリーランスとして働く。趣味は料理、旅行、ゲーム。,一般,62602
73e206ca,男,38,販売スタッフ,愛知県,既婚子なし,カフェ巡り、料理、音楽、スポーツ,老後の資金,愛知県在住38歳男性。販売スタッフとして働く。趣味はカフェ巡り、料理、音楽、スポーツ。,ブロンズ,123747
2c2a23f7,女,36,学生,埼玉県,既婚子なし,映画鑑賞、DIY、カフェ巡り、旅行,住宅ローン,埼玉県在住36歳女性。学生として働く。趣味は映画鑑賞、DIY、カフェ巡り、旅行。,ブロンズ,469392
41d57dde,女,62,パート,愛知県,既婚子なし,アウトドア、音楽、旅行,住宅ローン,愛知県在住62歳女性。パートとして働く。趣味はアウトドア、音楽、旅行。,ブロンズ,395814
e9dc66e5,男,44,学生,千葉県,独身,スポーツ、映画鑑賞、ショッピング、旅行,スキルアップ,千葉県在住44歳男性。学生として働く。趣味はスポーツ、映画鑑賞、ショッピング、旅行。,シルバー,369395
e6504e8b,男,28,フリーランス,大阪府,既婚子なし,スポーツ、旅行、カフェ巡り、アウトドア,老後の資金,大阪府在住28歳男性。フリーランスとして働く。趣味はスポーツ、旅行、カフェ巡り、アウトドア。,ブロンズ,333688
c6331594,女,53,医療従事者,神奈川県,既婚子あり（1人）,映画鑑賞、ショッピング,ワークライフバランス,神奈川県在住53歳女性。医療従事者として働く。趣味は映画鑑賞、ショッピング。,シルバー,268431
81edd628,女,58,医療従事者,神奈川県,独身,アウトドア、音楽,キャリアアップ,神奈川県在住58歳女性。医療従事者として働く。趣味はアウトドア、音楽。,一般,181731
4f85cfea,女,52,医療従事者,東京都,既婚子あり（2人以上）,アウトドア、ショッピング、カフェ巡り、DIY,住宅ローン,東京都在住52歳女性。医療従事者として働く。趣味はアウトドア、ショッピング、カフェ巡り、DIY。,ブロンズ,386048
2f864dd1,女,46,事務職,埼玉県,既婚子あり（1人）,ガーデニング、DIY、アウトドア,スキルアップ,埼玉県在住46歳女性。事務職として働く。趣味はガーデニング、DIY、アウトドア。,シルバー,286663
fe3f85b7,男,26,主婦,埼玉県,既婚子あり（1人）,ゲーム、アウトドア、DIY,ワークライフバランス,埼玉県在住26歳男性。主婦として働く。趣味はゲーム、アウトドア、DIY。,一般,373564
5bc3e0ca,男,50,主婦,宮城県,独身,旅行、スポーツ、カフェ巡り,人間関係,宮城県在住50歳男性。主婦として働く。趣味は旅行、スポーツ、カフェ巡り。,ゴールド,325634
6d9b7902,女,24,フリーランス,東京都,既婚子なし,カフェ巡り、音楽、アウトドア、ガーデニング,健康管理,東京都在住24歳女性。フリーランスとして働く。趣味はカフェ巡り、音楽、アウトドア、ガーデニング。,シルバー,66129
ce335305,男,68,ITエンジニア,千葉県,既婚子あり（2人以上）,カフェ巡り、ショッピング、アウトドア,人間関係,千葉県在住68歳男性。ITエンジニアとして働く。趣味はカフェ巡り、ショッピング、アウトドア。,一般,293430
523454ec,男,23,管理職,埼玉県,既婚子なし,料理、ゲーム,スキルアップ,埼玉県在住23歳男性。管理職として働く。趣味は料理、ゲーム。,一般,143519
37d25617,女,61,学生,東京都,既婚子あり（1人）,カフェ巡り、読書、映画鑑賞、スポーツ,人間関係,東京都在住61歳女性。学生として働く。趣味はカフェ巡り、読書、映画鑑賞、スポーツ。,一般,231722
f7554c5f,男,34,医療従事者,宮城県,独身,DIY、アウトドア、ショッピング,ワークライフバランス,宮城県在住34歳男性。医療従事者として働く。趣味はDIY、アウトドア、ショッピング。,一般,454274
25f58fc2,女,34,教員,北海道,既婚子なし,写真、映画鑑賞,子供の教育,北海道在住34歳女性。教員として働く。趣味は写真、映画鑑賞。,ブロンズ,43497
15fdf090,男,28,営業職,広島県,既婚子あり（1人）,アウトドア、旅行、スポーツ、料理,老後の資金,広島県在住28歳男性。営業職として働く。趣味はアウトドア、旅行、スポーツ、料理。,シルバー,464891
f3d40324,女,47,販売スタッフ,大阪府,既婚子なし,写真、DIY、スポーツ,副業,大阪府在住47歳女性。販売スタッフとして働く。趣味は写真、DIY、スポーツ。,ゴールド,375705
d5595891,男,58,パート,千葉県,既婚子あり（1人）,ガーデニング、読書、映画鑑賞,子供の教育,千葉県在住58歳男性。パートとして働く。趣味はガーデニング、読書、映画鑑賞。,ゴールド,489295
9a2ff61b,男,63,販売スタッフ,千葉県,既婚子あり（2人以上）,スポーツ、DIY、料理、旅行,住宅ローン,千葉県在住63歳男性。販売スタッフとして働く。趣味はスポーツ、DIY、料理、旅行。,ゴールド,457024
39b33ec7,男,31,営業職,愛知県,既婚子あり（1人）,読書、ショッピング,転職,愛知県在住31歳男性。営業職として働く。趣味は読書、ショッピング。,シルバー,400596
a2b9615b,女,30,主婦,愛知県,既婚子あり（1人）,ガーデニング、写真,人間関係,愛知県在住30歳女性。主婦として働く。趣味はガーデニング、写真。,ブロンズ,460409
80ed03d4,女,28,販売スタッフ,大阪府,既婚子なし,アウトドア、旅行、音楽,ワークライフバランス,大阪府在住28歳女性。販売スタッフとして働く。趣味はアウトドア、旅行、音楽。,ゴールド,243331
229f6bb5,女,26,教員,福岡県,既婚子なし,映画鑑賞、音楽,転職,福岡県在住26歳女性。教員として働く。趣味は映画鑑賞、音楽。,一般,476774
cef8af17,男,47,パート,福岡県,既婚子あり（2人以上）,音楽、ショッピング、料理,子供の教育,福岡県在住47歳男性。パートとして働く。趣味は音楽、ショッピング、料理。,シルバー,120219
c8fec864,女,69,営業職,大阪府,既婚子あり（1人）,ショッピング、映画鑑賞,人間関係,大阪府在住69歳女性。営業職として働く。趣味はショッピング、映画鑑賞。,ブロンズ,104271
c6b46eb9,男,49,パート,埼玉県,既婚子なし,写真、ショッピング、アウトドア、DIY,老後の資金,埼玉県在住49歳男性。パートとして働く。趣味は写真、ショッピング、アウトドア、DIY。,一般,259092
e2148853,女,61,事務職,東京都,既婚子あり（1人）,アウトドア、スポーツ、DIY,キャリアアップ,東京都在住61歳女性。事務職として働く。趣味はアウトドア、スポーツ、DIY。,シルバー,323947
7e1fd52e,男,39,フリーランス,北海道,独身,映画鑑賞、料理、ゲーム、音楽,副業,北海道在住39歳男性。フリーランスとして働く。趣味は映画鑑賞、料理、ゲーム、音楽。,ブロンズ,181739
5c0755a2,男,68,主婦,埼玉県,既婚子あり（2人以上）,アウトドア、ゲーム、写真,健康管理,埼玉県在住68歳男性。主婦として働く。趣味はアウトドア、ゲーム、写真。,シルバー,64046
a6c93fb3,男,29,事務職,大阪府,独身,音楽、DIY、ショッピング,健康管理,大阪府在住29歳男性。事務職として働く。趣味は音楽、DIY、ショッピング。,ブロンズ,343197
2a695213,女,43,教員,千葉県,独身,音楽、料理,子供の教育,千葉県在住43歳女性。教員として働く。趣味は音楽、料理。,ブロンズ,237940
e04155f9,女,48,主婦,宮城県,既婚子あり（2人以上）,カフェ巡り、ゲーム、ガーデニング,人間関係,宮城県在住48歳女性。主婦として働く。趣味はカフェ巡り、ゲーム、ガーデニング。,一般,495751
c7795c39,女,53,フリーランス,宮城県,既婚子あり（1人）,料理、カフェ巡り、旅行、映画鑑賞,子供の教育,宮城県在住53歳女性。フリーランスとして働く。趣味は料理、カフェ巡り、旅行、映画鑑賞。,シルバー,261973
4906c9d7,男,54,教員,宮城県,既婚子あり（1人）,音楽、ガーデニング,老後の資金,宮城県在住54歳男性。教員として働く。趣味は音楽、ガーデニング。,ブロンズ,59829
b481b3ed,女,63,主婦,北海道,既婚子あり（2人以上）,ショッピング、音楽、映画鑑賞,住宅ローン,北海道在住63歳女性。主婦として働く。趣味はショッピング、音楽、映画鑑賞。,一般,118853
08954626,男,36,販売スタッフ,千葉県,既婚子あり（1人）,カフェ巡り、ゲーム、アウトドア,子供の教育,千葉県在住36歳男性。販売スタッフとして働く。趣味はカフェ巡り、ゲーム、アウトドア。,ゴールド,51878
fe1d706f,男,22,医療従事者,大阪府,既婚子なし,ガーデニング、読書,住宅ローン,大阪府在住22歳男性。医療従事者として働く。趣味はガーデニング、読書。,一般,41485
f3c134fb,男,64,営業職,福岡県,既婚子あり（1人）,カフェ巡り、ガーデニング,子供の教育,福岡県在住64歳男性。営業職として働く。趣味はカフェ巡り、ガーデニング。,一般,377307
fa157c4e,男,22,事務職,東京都,既婚子あり（2人以上）,ショッピング、スポーツ、DIY,老後の資金,東京都在住22歳男性。事務職として働く。趣味はショッピング、スポーツ、DIY。,ブロンズ,171780
09521edb,女,41,主婦,神奈川県,既婚子なし,ガーデニング、カフェ巡り、ショッピング,老後の資金,神奈川県在住41歳女性。主婦として働く。趣味はガーデニング、カフェ巡り、ショッピング。,ゴールド,368224
27cbce42,女,55,管理職,神奈川県,独身,アウトドア、ガーデニング,健康管理,神奈川県在住55歳女性。管理職として働く。趣味はアウトドア、ガーデニング。,ブロンズ,61892
02b51bc2,女,27,主婦,広島県,既婚子なし,料理、旅行、DIY、写真,住宅ローン,広島県在住27歳女性。主婦として働く。趣味は料理、旅行、DIY、写真。,一般,63550
18a6004c,男,56,医療従事者,広島県,独身,写真、カフェ巡り、音楽,住宅ローン,広島県在住56歳男性。医療従事者として働く。趣味は写真、カフェ巡り、音楽。,一般,396591
90c1582c,女,58,営業職,埼玉県,既婚子あり（1人）,映画鑑賞、アウトドア,老後の資金,埼玉県在住58歳女性。営業職として働く。趣味は映画鑑賞、アウトドア。,シルバー,276711
4ecc1434,女,35,管理職,広島県,既婚子なし,旅行、料理,スキルアップ,広島県在住35歳女性。管理職として働く。趣味は旅行、料理。,ブロンズ,218225
5b4d1b8a,女,37,学生,広島県,独身,写真、ゲーム,住宅ローン,広島県在住37歳女性。学生として働く。趣味は写真、ゲーム。,一般,464444
fcf1d3bd,男,33,管理職,福岡県,独身,DIY、映画鑑賞、カフェ巡り、ゲーム,健康管理,福岡県在住33歳男性。管理職として働く。趣味はDIY、映画鑑賞、カフェ巡り、ゲーム。,シルバー,477447
8cf8d3de,男,20,ITエンジニア,福岡県,既婚子あり（2人以上）,スポーツ、ショッピング、音楽,子供の教育,福岡県在住20歳男性。ITエンジニアとして働く。趣味はスポーツ、ショッピング、音楽。,ブロンズ,36447
f6faed55,男,26,ITエンジニア,神奈川県,既婚子なし,映画鑑賞、音楽、アウトドア、ゲーム,住宅ローン,神奈川県在住26歳男性。ITエンジニアとして働く。趣味は映画鑑賞、音楽、アウトドア、ゲーム。,シルバー,299733
51542415,男,20,営業職,宮城県,既婚子なし,音楽、料理、写真,スキルアップ,宮城県在住20歳男性。営業職として働く。趣味は音楽、料理、写真。,ゴールド,235881
dc0c5f28,女,24,パート,愛知県,既婚子あり（1人）,旅行、映画鑑賞、音楽、写真,人間関係,愛知県在住24歳女性。パートとして働く。趣味は旅行、映画鑑賞、音楽、写真。,ゴールド,46425
9998cce2,男,48,学生,東京都,既婚子あり（1人）,料理、DIY、ゲーム、ガーデニング,ワークライフバランス,東京都在住48歳男性。学生として働く。趣味は料理、DIY、ゲーム、ガーデニング。,一般,455353
721d843a,男,32,パート,北海道,既婚子なし,旅行、ゲーム、映画鑑賞,副業,北海道在住32歳男性。パートとして働く。趣味は旅行、ゲーム、映画鑑賞。,ブロンズ,111683
bdb8805f,男,67,管理職,埼玉県,既婚子あり（1人）,ゲーム、ショッピング,子供の教育,埼玉県在住67歳男性。管理職として働く。趣味はゲーム、ショッピング。,一般,390905
ee4d00de,男,69,ITエンジニア,福岡県,既婚子あり（1人）,ショッピング、写真,転職,福岡県在住69歳男性。ITエンジニアとして働く。趣味はショッピング、写真。,ブロンズ,50926
550c897c,女,27,管理職,大阪府,既婚子あり（2人以上）,ゲーム、料理、ガーデニング、映画鑑賞,健康管理,大阪府在住27歳女性。管理職として働く。趣味はゲーム、料理、ガーデニング、映画鑑賞。,ブロンズ,437530
5cf26364,男,26,販売スタッフ,神奈川県,既婚子あり（2人以上）,カフェ巡り、スポーツ,スキルアップ,神奈川県在住26歳男性。販売スタッフとして働く。趣味はカフェ巡り、スポーツ。,ブロンズ,11692
65ea7530,男,25,ITエンジニア,大阪府,既婚子あり（1人）,ゲーム、ショッピング、写真,健康管理,大阪府在住25歳男性。ITエンジニアとして働く。趣味はゲーム、ショッピング、写真。,ゴールド,228504
1e4064a2,男,36,パート,千葉県,独身,DIY、映画鑑賞,住宅ローン,千葉県在住36歳男性。パートとして働く。趣味はDIY、映画鑑賞。,シルバー,355213
447d9f8a,男,63,事務職,愛知県,独身,スポーツ、ゲーム、料理,副業,愛知県在住63歳男性。事務職として働く。趣味はスポーツ、ゲーム、料理。,シルバー,189631
fa437cc7,女,55,事務職,東京都,既婚子あり（2人以上）,ゲーム、写真,ワークライフバランス,東京都在住55歳女性。事務職として働く。趣味はゲーム、写真。,シルバー,406360
b7351903,男,68,管理職,福岡県,既婚子あり（1人）,旅行、ガーデニング、料理、映画鑑賞,人間関係,福岡県在住68歳男性。管理職として働く。趣味は旅行、ガーデニング、料理、映画鑑賞。,ゴールド,260772
0380b882,女,55,教員,神奈川県,独身,音楽、DIY、料理,キャリアアップ,神奈川県在住55歳女性。教員として働く。趣味は音楽、DIY、料理。,ゴールド,320707
24197fb3,女,27,事務職,大阪府,既婚子あり（1人）,ゲーム、スポーツ、DIY,健康管理,大阪府在住27歳女性。事務職として働く。趣味はゲーム、スポーツ、DIY。,一般,58874
d5147cd5,男,29,事務職,東京都,既婚子あり（1人）,ショッピング、カフェ巡り、ゲーム,老後の資金,東京都在住29歳男性。事務職として働く。趣味はショッピング、カフェ巡り、ゲーム。,一般,416501
124830c6,女,42,管理職,愛知県,独身,料理、カフェ巡り、写真、スポーツ,住宅ローン,愛知県在住42歳女性。管理職として働く。趣味は料理、カフェ巡り、写真、スポーツ。,ブロンズ,472820
f392baf5,女,35,パート,大阪府,独身,アウトドア、ガーデニング、映画鑑賞,キャリアアップ,大阪府在住35歳女性。パートとして働く。趣味はアウトドア、ガーデニング、映画鑑賞。,ブロンズ,271557
805abf8b,男,59,教員,千葉県,既婚子なし,旅行、アウトドア、読書,健康管理,千葉県在住59歳男性。教員として働く。趣味は旅行、アウトドア、読書。,シルバー,303239
329c35bc,男,24,管理職,東京都,既婚子あり（2人以上）,音楽、料理,子供の教育,東京都在住24歳男性。管理職として働く。趣味は音楽、料理。,ゴールド,430485
de25dd34,女,52,営業職,愛知県,既婚子あり（1人）,ショッピング、カフェ巡り,健康管理,愛知県在住52歳女性。営業職として働く。趣味はショッピング、カフェ巡り。,シルバー,283419
ce92dafe,男,22,事務職,千葉県,独身,音楽、スポーツ、ガーデニング、アウトドア,キャリアアップ,千葉県在住22歳男性。事務職として働く。趣味は音楽、スポーツ、ガーデニング、アウトドア。,一般,313332
